.well-known/openid-configuration,https://123.121.16.52:6443/.well-known/openid-configuration,,1276,200,1133,1,1,application/json; charset=utf-8,
FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,resultfile
FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,resultfile
FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,resultfile
FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,resultfile
FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,resultfile
FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,resultfile
FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,resultfile
FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,resultfile
admin-ajax.php,http://45.76.249.54/wp-admin/admin-ajax.php,,2741,200,710,87,9,text/html; charset=UTF-8,
admin-ajax.php,https://45.76.249.54/wp-admin/admin-ajax.php,,2741,200,710,87,9,text/html; charset=UTF-8,
auth.html,http://45.76.249.54/manual/de/howto/auth.html,,3753,200,37900,5182,639,text/html,
auth.html,http://45.76.249.54/manual/en/howto/auth.html,,3753,200,37900,5182,639,text/html,
auth.html,http://45.76.249.54/manual/es/howto/auth.html,,3753,200,41909,6082,713,text/html,
auth.html,http://45.76.249.54/manual/fr/howto/auth.html,,3753,200,41048,4972,683,text/html,
build.properties,http://45.76.249.54/manual/style/build.properties,,4079,200,481,102,28,,
cache/,http://45.76.249.54/wp-content/cache/,,4115,200,0,1,1,text/html,
cache/,https://45.76.249.54/wp-content/cache/,,4115,200,0,1,1,text/html,
cron.php,http://45.76.249.54/wp-includes/cron.php,,4677,200,0,1,1,text/html; charset=UTF-8,
cron.php,https://45.76.249.54/wp-includes/cron.php,,4677,200,0,1,1,text/html; charset=UTF-8,
debug.log,http://45.76.249.54/wp-content/debug.log,,4857,200,433071629,0,0,,
debug.log,https://45.76.249.54/wp-content/debug.log,,4857,200,242502731,0,0,,
deploy,https://123.121.16.52:6443/deploy,,4888,200,60057,1678,453,text/html; charset=utf-8,
error.log,http://45.76.249.54/wp-content/plugins/all-in-one-wp-migration/storage/error.log,,5169,200,4399,218,49,,
error.log,https://45.76.249.54/wp-content/plugins/all-in-one-wp-migration/storage/error.log,,5169,200,4399,218,49,,
explore,https://123.121.16.52:6443/explore,,5257,200,56333,1538,374,text/html; charset=utf-8,
favicon.ico,http://45.76.249.54/manual/images/favicon.ico,,5306,200,1086,5,1,image/vnd.microsoft.icon,
favicon.ico,https://123.121.16.52:8006/favicon.ico,,5306,200,2336,11,9,image/x-icon,
help,https://123.121.16.52:6443/help,,5630,200,75304,2500,364,text/html; charset=utf-8,
help.htm,https://123.121.16.52:6443/help.htm,,5631,200,73556,2486,364,text/html; charset=utf-8,
help/,https://123.121.16.52:6443/help/,,5632,200,75366,2502,365,text/html; charset=utf-8,
images/,http://45.76.249.54/manual/images/,,5774,200,10461,485,61,text/html;charset=UTF-8,
import.php,http://45.76.249.54/wp-admin/includes/import.php,,5786,200,0,1,1,text/html; charset=UTF-8,
import.php,https://45.76.249.54/wp-admin/includes/import.php,,5786,200,0,1,1,text/html; charset=UTF-8,
index.html,http://45.76.249.54/manual/de/developer/index.html,,5852,200,6182,569,88,text/html,
index.html,http://45.76.249.54/manual/de/faq/index.html,,5852,200,3880,256,50,text/html,
index.html,http://45.76.249.54/manual/de/howto/index.html,,5852,200,8865,1327,170,text/html,
index.html,http://45.76.249.54/manual/de/index.html,,5852,200,9544,561,128,text/html,
index.html,http://45.76.249.54/manual/de/misc/index.html,,5852,200,5386,572,94,text/html,
index.html,http://45.76.249.54/manual/de/programs/index.html,,5852,200,6973,634,130,text/html,
index.html,http://45.76.249.54/manual/en/developer/index.html,,5852,200,6182,569,88,text/html,
index.html,http://45.76.249.54/manual/en/faq/index.html,,5852,200,3880,256,50,text/html,
index.html,http://45.76.249.54/manual/en/howto/index.html,,5852,200,8865,1327,170,text/html,
index.html,http://45.76.249.54/manual/en/index.html,,5852,200,9482,541,125,text/html,
index.html,http://45.76.249.54/manual/en/misc/index.html,,5852,200,5386,572,94,text/html,
index.html,http://45.76.249.54/manual/en/programs/index.html,,5852,200,6973,634,130,text/html,
index.html,http://45.76.249.54/manual/es/developer/index.html,,5852,200,6182,569,88,text/html,
index.html,http://45.76.249.54/manual/es/faq/index.html,,5852,200,3979,272,50,text/html,
index.html,http://45.76.249.54/manual/es/howto/index.html,,5852,200,8279,1017,163,text/html,
index.html,http://45.76.249.54/manual/es/index.html,,5852,200,9891,608,127,text/html,
index.html,http://45.76.249.54/manual/es/misc/index.html,,5852,200,5859,680,100,text/html,
index.html,http://45.76.249.54/manual/es/programs/index.html,,5852,200,7444,731,132,text/html,
index.html,http://45.76.249.54/manual/fr/developer/index.html,,5852,200,6182,569,88,text/html,
index.html,http://45.76.249.54/manual/fr/faq/index.html,,5852,200,3885,260,50,text/html,
index.html,http://45.76.249.54/manual/fr/howto/index.html,,5852,200,9328,1140,178,text/html,
index.html,http://45.76.249.54/manual/fr/index.html,,5852,200,9844,598,128,text/html,
index.html,http://45.76.249.54/manual/fr/misc/index.html,,5852,200,5717,579,99,text/html,
index.html,http://45.76.249.54/manual/fr/programs/index.html,,5852,200,7282,698,132,text/html,
index.html,http://45.76.249.54/manual/index.html,,5852,200,626,14,13,text/html,
index.html,http://45.76.249.54/wp-content/ai1wm-backups/index.html,,5852,200,26,4,1,text/html,
index.html,http://45.76.249.54/wp-content/cache/index.html,,5852,200,0,1,1,text/html,
index.html,http://45.76.249.54/wp-content/index.html,,5852,200,112,6,1,text/html,
index.html,http://45.76.249.54/wp-content/plugins/all-in-one-wp-migration/storage/index.html,,5852,200,26,4,1,text/html,
index.html,https://45.76.249.54/wp-content/ai1wm-backups/index.html,,5852,200,26,4,1,text/html,
index.html,https://45.76.249.54/wp-content/cache/index.html,,5852,200,0,1,1,text/html,
index.html,https://45.76.249.54/wp-content/index.html,,5852,200,112,6,1,text/html,
index.html,https://45.76.249.54/wp-content/plugins/all-in-one-wp-migration/storage/index.html,,5852,200,26,4,1,text/html,
index.php,http://45.76.249.54/wp-content/ai1wm-backups/index.php,,5858,200,26,4,1,text/html; charset=UTF-8,
index.php,http://45.76.249.54/wp-content/index.php,,5858,200,0,1,1,text/html; charset=UTF-8,
index.php,http://45.76.249.54/wp-content/plugins/all-in-one-wp-migration/storage/index.php,,5858,200,26,4,1,text/html; charset=UTF-8,
index.php,http://45.76.249.54/wp-content/plugins/index.php,,5858,200,0,1,1,text/html; charset=UTF-8,
index.php,http://45.76.249.54/wp-content/themes/index.php,,5858,200,0,1,1,text/html; charset=UTF-8,
index.php,https://45.76.249.54/wp-content/ai1wm-backups/index.php,,5858,200,26,4,1,text/html; charset=UTF-8,
index.php,https://45.76.249.54/wp-content/index.php,,5858,200,0,1,1,text/html; charset=UTF-8,
index.php,https://45.76.249.54/wp-content/plugins/index.php,,5858,200,0,1,1,text/html; charset=UTF-8,
index.php,https://45.76.249.54/wp-content/themes/index.php,,5858,200,0,1,1,text/html; charset=UTF-8,
index.php/login/,http://45.76.249.54/wp-content/ai1wm-backups/index.php/login/,,5861,200,26,4,1,text/html; charset=UTF-8,
index.php/login/,http://45.76.249.54/wp-content/index.php/login/,,5861,200,0,1,1,text/html; charset=UTF-8,
index.php/login/,http://45.76.249.54/wp-content/plugins/all-in-one-wp-migration/storage/index.php/login/,,5861,200,26,4,1,text/html; charset=UTF-8,
index.php/login/,http://45.76.249.54/wp-content/plugins/index.php/login/,,5861,200,0,1,1,text/html; charset=UTF-8,
index.php/login/,http://45.76.249.54/wp-content/themes/index.php/login/,,5861,200,0,1,1,text/html; charset=UTF-8,
index.php/login/,https://45.76.249.54/wp-content/ai1wm-backups/index.php/login/,,5861,200,26,4,1,text/html; charset=UTF-8,
index.php/login/,https://45.76.249.54/wp-content/index.php/login/,,5861,200,0,1,1,text/html; charset=UTF-8,
index.php/login/,https://45.76.249.54/wp-content/plugins/all-in-one-wp-migration/storage/index.php/login/,,5861,200,26,4,1,text/html; charset=UTF-8,
index.php/login/,https://45.76.249.54/wp-content/plugins/index.php/login/,,5861,200,0,1,1,text/html; charset=UTF-8,
index.php/login/,https://45.76.249.54/wp-content/themes/index.php/login/,,5861,200,0,1,1,text/html; charset=UTF-8,
install.html,http://45.76.249.54/manual/de/install.html,,5918,200,25589,3261,436,text/html,
install.html,http://45.76.249.54/manual/en/install.html,,5918,200,27728,3860,501,text/html,
install.html,http://45.76.249.54/manual/es/install.html,,5918,200,28932,4015,483,text/html,
install.html,http://45.76.249.54/manual/fr/install.html,,5918,200,30220,4107,528,text/html,
license.txt,http://45.76.249.54/license.txt,,6229,200,19915,3331,385,text/plain,
license.txt,http://45.76.249.54/wp-includes/js/plupload/license.txt,,6229,200,17987,3013,340,text/plain,
license.txt,http://45.76.249.54/wp-includes/js/swfupload/license.txt,,6229,200,1540,207,32,text/plain,
license.txt,http://45.76.249.54/wp-includes/js/tinymce/license.txt,,6229,200,26441,4467,505,text/plain,
license.txt,http://45.76.249.54/wp-includes/js/tinymce/license.txt,,6229,200,26441,4467,505,text/plain,
license.txt,https://45.76.249.54/wp-includes/js/plupload/license.txt,,6229,200,17987,3013,340,text/plain,
license.txt,https://45.76.249.54/wp-includes/js/swfupload/license.txt,,6229,200,1540,207,32,text/plain,
license.txt,https://45.76.249.54/wp-includes/js/tinymce/license.txt,,6229,200,26441,4467,505,text/plain,
license.txt,https://45.76.249.54/wp-includes/js/tinymce/license.txt,,6229,200,26441,4467,505,text/plain,
load.php,http://45.76.249.54/wp-includes/load.php,,6260,200,0,1,1,text/html; charset=UTF-8,
logs.html,http://45.76.249.54/manual/de/logs.html,,6411,200,40264,6419,713,text/html,
logs.html,http://45.76.249.54/manual/en/logs.html,,6411,200,40264,6419,713,text/html,
logs.html,http://45.76.249.54/manual/es/logs.html,,6411,200,40264,6419,713,text/html,
logs.html,http://45.76.249.54/manual/fr/logs.html,,6411,200,45633,6598,763,text/html,
manual/index.html,http://45.76.249.54/manual/index.html,,6524,200,626,14,13,text/html,
misc.php,http://45.76.249.54/wp-admin/includes/misc.php,,6687,200,0,1,1,text/html; charset=UTF-8,
misc.php,https://45.76.249.54/wp-admin/includes/misc.php,,6687,200,0,1,1,text/html; charset=UTF-8,
plugins/,http://45.76.249.54/wp-content/plugins/,,7548,200,0,1,1,text/html; charset=UTF-8,
plugins/,https://45.76.249.54/wp-content/plugins/,,7548,200,0,1,1,text/html; charset=UTF-8,
public,https://123.121.16.52:6443/public,,7720,200,56315,1538,374,text/html; charset=utf-8,
public/,https://123.121.16.52:6443/public/,,7723,200,56315,1538,374,text/html; charset=utf-8,
readme.html,https://45.76.249.54/readme.html,,7801,200,7278,740,98,text/html,
readme.txt,http://45.76.249.54/icon/mime/readme.txt,,7814,200,248,30,3,text/plain,
robots.txt,https://123.121.16.52:5001/photo/robots.txt,,7912,200,26,3,3,text/plain,
robots.txt,https://123.121.16.52:5001/robots.txt,,7912,200,26,3,3,text/plain,
robots.txt,https://123.121.16.52:6443/robots.txt,,7912,200,2244,157,84,text/plain; charset=utf-8,
scripts/,http://45.76.249.54/manual/style/scripts/,,7977,200,1316,85,18,text/html;charset=UTF-8,
search,https://123.121.16.52:6443/search,,8000,200,51757,1343,274,text/html; charset=utf-8,
ssl/,http://45.76.249.54/manual/de/ssl/,,8405,200,5277,330,71,text/html,
ssl/,http://45.76.249.54/manual/en/ssl/,,8405,200,5277,330,71,text/html,
ssl/,http://45.76.249.54/manual/es/ssl/,,8405,200,5277,330,71,text/html,
ssl/,http://45.76.249.54/manual/fr/ssl/,,8405,200,5427,358,73,text/html,
swfobject.js,http://45.76.249.54/wp-includes/js/swfobject.js,,8563,200,10231,188,4,application/javascript,
swfobject.js,https://45.76.249.54/wp-includes/js/swfobject.js,,8563,200,10231,188,4,application/javascript,
themes/,http://45.76.249.54/wp-content/themes/,,8778,200,0,1,1,text/html; charset=UTF-8,
themes/,https://45.76.249.54/wp-content/themes/,,8778,200,0,1,1,text/html; charset=UTF-8,
update.php,http://45.76.249.54/wp-admin/includes/update.php,,8937,200,0,1,1,text/html; charset=UTF-8,
update.php,https://45.76.249.54/wp-admin/includes/update.php,,8937,200,0,1,1,text/html; charset=UTF-8,
user.php,http://45.76.249.54/wp-admin/includes/user.php,,9008,200,0,1,1,text/html; charset=UTF-8,
user.php,http://45.76.249.54/wp-includes/user.php,,9008,200,0,1,1,text/html; charset=UTF-8,
user.php,https://45.76.249.54/wp-admin/includes/user.php,,9008,200,0,1,1,text/html; charset=UTF-8,
user.php,https://45.76.249.54/wp-includes/user.php,,9008,200,0,1,1,text/html; charset=UTF-8,
web.config,http://45.76.249.54/wp-content/ai1wm-backups/web.config,,9362,200,292,8,13,,
web.config,http://45.76.249.54/wp-content/web.config,,9362,200,124,3,8,,
web.config,https://45.76.249.54/wp-content/ai1wm-backups/web.config,,9362,200,292,8,13,,
web.config,https://45.76.249.54/wp-content/web.config,,9362,200,124,3,8,,
wp-admin/admin-ajax.php,http://45.76.249.54/wp-admin/admin-ajax.php,,9484,200,710,87,9,text/html; charset=UTF-8,
wp-admin/admin-ajax.php,https://45.76.249.54/wp-admin/admin-ajax.php,,9484,200,710,87,9,text/html; charset=UTF-8,
wp-content/,http://45.76.249.54/wp-content/,,9503,200,112,6,1,text/html,
wp-content/,https://45.76.249.54/wp-content/,,9503,200,112,6,1,text/html,
wp-content/ai1wm-backups/,http://45.76.249.54/wp-content/ai1wm-backups/,,9505,200,26,4,1,text/html; charset=UTF-8,
wp-content/ai1wm-backups/,https://45.76.249.54/wp-content/ai1wm-backups/,,9505,200,26,4,1,text/html; charset=UTF-8,
wp-content/cache/,http://45.76.249.54/wp-content/cache/,,9511,200,0,1,1,text/html,
wp-content/cache/,https://45.76.249.54/wp-content/cache/,,9511,200,0,1,1,text/html,
wp-content/debug.log,http://45.76.249.54/wp-content/debug.log,,9514,200,427491899,0,0,,
wp-content/debug.log,https://45.76.249.54/wp-content/debug.log,,9514,200,240612326,0,0,,
wp-content/plugins/google-sitemap-generator/sitemap-core.php,http://45.76.249.54/wp-content/plugins/google-sitemap-generator/sitemap-core.php,,9528,200,0,1,1,text/html; charset=UTF-8,
wp-content/plugins/google-sitemap-generator/sitemap-core.php,https://45.76.249.54/wp-content/plugins/google-sitemap-generator/sitemap-core.php,,9528,200,0,1,1,text/html; charset=UTF-8,
wp-includes/rss-functions.php,http://45.76.249.54/wp-includes/rss-functions.php,,9555,200,0,1,1,text/html; charset=UTF-8,
wp-includes/rss-functions.php,https://45.76.249.54/wp-includes/rss-functions.php,,9555,200,0,1,1,text/html; charset=UTF-8,
xmlrpc.php,http://45.76.249.54/xmlrpc.php,,9631,200,0,1,1,text/html; charset=UTF-8,
xmlrpc.php,https://45.76.249.54/xmlrpc.php,,9631,200,0,1,1,text/html; charset=UTF-8,
